t(secs),mass_residual
0.1749,0.391734
0.17505,0.391956
0.1752,0.392176
0.17535,0.392393
0.1755,0.392609
0.17565,0.392824
0.1758,0.393036
0.17595,0.393248
0.1761,0.393457
0.17625,0.393664
0.1764,0.39387
0.17655,0.394074
0.1767,0.394275
0.17685,0.394476
0.177,0.394676
0.17715,0.394873
0.1773,0.395069
0.17745,0.395263
0.1776,0.395455
0.17775,0.395646
0.1779,0.395834
0.17805,0.396021
0.1782,0.396206
0.17835,0.396389
0.1785,0.39657
0.17865,0.396749
0.1788,0.396926
0.17895,0.397101
0.1791,0.397274
0.17925,0.397445
0.1794,0.397614
0.17955,0.39778
0.1797,0.397945
0.17985,0.398107
0.18,0.398267
0.18015,0.398424
0.1803,0.398579
0.18045,0.398732
0.1806,0.398882
0.18075,0.399029
0.1809,0.399174
0.18105,0.399316
0.1812,0.399455
0.18135,0.399592
0.1815,0.399725
0.18165,0.399855
0.1818,0.399982
0.18195,0.400106
0.1821,0.400227
0.18225,0.400344
0.1824,0.400459
0.18255,0.400569
0.1827,0.400676
0.18285,0.400779
0.183,0.400879
0.18315,0.400974
0.1833,0.401066
0.18345,0.401153
0.1836,0.401236
0.18375,0.401315
0.1839,0.401389
0.18405,0.401459
0.1842,0.401524
0.18435,0.401585
0.1845,0.401642
0.18465,0.401693
0.1848,0.40174
0.18495,0.401783
0.1851,0.40182
0.18525,0.401851
0.1854,0.401877
0.18555,0.401898
0.1857,0.401912
0.18585,0.40192
0.186,0.401923
0.18615,0.401919
0.1863,0.401909
0.18645,0.401892
0.1866,0.401868
0.18675,0.401838
0.1869,0.4018
0.18705,0.401755
0.1872,0.401703
0.18735,0.401643
0.1875,0.401576
0.18765,0.4015
0.1878,0.401417
0.18795,0.401326
0.1881,0.401226
0.18825,0.401117
0.1884,0.401
0.18855,0.400875
0.1887,0.40074
0.18885,0.400596
0.189,0.400442
0.18915,0.400279
0.1893,0.400106
0.18945,0.399922
0.1896,0.399727
0.18975,0.39952
0.1899,0.399303
0.19005,0.399074
0.1902,0.398833
0.19035,0.39858
0.1905,0.398314
0.19065,0.398036
0.1908,0.397746
0.19095,0.397443
0.1911,0.397126
0.19125,0.396797
0.1914,0.396456
0.19155,0.396101
0.1917,0.395733
0.19185,0.395352
0.192,0.394959
0.19215,0.394551
0.1923,0.39413
0.19245,0.393696
0.1926,0.393249
0.19275,0.392789
0.1929,0.392316
0.19305,0.391829
0.1932,0.39133
0.19335,0.390818
0.1935,0.390293
0.19365,0.389756
0.1938,0.389207
0.19395,0.388646
0.1941,0.388074
0.19425,0.387491
0.1944,0.386897
0.19455,0.386292
0.1947,0.385679
0.19485,0.385056
0.195,0.384423
0.19515,0.383783
0.1953,0.383134
0.19545,0.382478
0.1956,0.381814
0.19575,0.381143
0.1959,0.380466
0.19605,0.379782
0.1962,0.379092
0.19635,0.378397
0.1965,0.377697
0.19665,0.376991
0.1968,0.376282
0.19695,0.375568
0.1971,0.374849
0.19725,0.374127
0.1974,0.373402
0.19755,0.372673
0.1977,0.371941
0.19785,0.371205
0.198,0.370465
0.19815,0.36972
0.1983,0.368969
0.19845,0.368214
0.1986,0.367456
0.19875,0.366694
0.1989,0.365929
0.19905,0.365162
0.1992,0.364393
0.19935,0.363622
0.1995,0.36285
0.19965,0.362077
0.1998,0.361303
0.19995,0.360529
0.2001,0.359754
0.20025,0.358979
0.2004,0.358206
0.20055,0.357434
0.2007,0.356664
0.20085,0.355898
0.201,0.355135
0.20115,0.354377
0.2013,0.353624
0.20145,0.352876
0.2016,0.352133
0.20175,0.351397
0.2019,0.350666
0.20205,0.349942
0.2022,0.349226
0.20235,0.348517
0.2025,0.347815
0.20265,0.347121
0.2028,0.346433
0.20295,0.345755
0.2031,0.345084
0.20325,0.344422
0.2034,0.343768
0.20355,0.343122
0.2037,0.342486
0.20385,0.341857
0.204,0.341238
0.20415,0.340626
0.2043,0.340025
0.20445,0.339432
0.2046,0.338848
0.20475,0.338273
0.2049,0.337707
0.20505,0.33715
0.2052,0.336601
0.20535,0.336062
0.2055,0.335532
0.20565,0.335011
0.2058,0.334499
0.20595,0.333995
0.2061,0.3335
0.20625,0.333015
0.2064,0.332538
0.20655,0.332069
0.2067,0.33161
0.20685,0.331159
0.207,0.330716
0.20715,0.330281
0.2073,0.329855
0.20745,0.329437
0.2076,0.329027
0.20775,0.328625
0.2079,0.328231
0.20805,0.327845
0.2082,0.327467
0.20835,0.327098
0.2085,0.326735
0.20865,0.32638
0.2088,0.326033
0.20895,0.325694
0.2091,0.325362
0.20925,0.325037
0.2094,0.324718
0.20955,0.324408
0.2097,0.324104
0.20985,0.323806
0.21,0.323514
0.21015,0.323229
0.2103,0.32295
0.21045,0.322677
0.2106,0.322411
0.21075,0.322151
0.2109,0.321897
0.21105,0.321649
0.2112,0.321408
0.21135,0.321172
0.2115,0.320942
0.21165,0.320719
0.2118,0.320501
0.21195,0.320288
0.2121,0.320082
0.21225,0.319881
0.2124,0.319686
0.21255,0.319496
0.2127,0.319312
0.21285,0.319132
0.213,0.318958
0.21315,0.318789
0.2133,0.318625
0.21345,0.318466
0.2136,0.318311
0.21375,0.318162
0.2139,0.318017
0.21405,0.317876
0.2142,0.31774
0.21435,0.317608
0.2145,0.317481
0.21465,0.317357
0.2148,0.317238
0.21495,0.317123
0.2151,0.317012
0.21525,0.316904
0.2154,0.316801
0.21555,0.3167
0.2157,0.316604
0.21585,0.316511
0.216,0.316421
0.21615,0.316335
0.2163,0.316252
0.21645,0.316172
0.2166,0.316095
0.21675,0.316021
0.2169,0.31595
0.21705,0.315882
0.2172,0.315817
0.21735,0.315755
0.2175,0.315695
0.21765,0.315637
0.2178,0.315582
0.21795,0.31553
0.2181,0.31548
0.21825,0.315432
0.2184,0.315386
0.21855,0.315342
0.2187,0.315301
0.21885,0.315261
0.219,0.315224
0.21915,0.315188
0.2193,0.315154
0.21945,0.315122
0.2196,0.315092
0.21975,0.315064
0.2199,0.315037
0.22005,0.315011
